SITE_ID,SAMPLE_ID,VISIT_NO,INDXSAMP_LDC,SAMPLE_TYPE,SAMPLE_CATEGORY,PRIMESEDT,LDC_ADJ
NLA06608-1148,512238,1,YES,SEDB,P,,-33.77315303
NLA06608-1150,505667,1,YES,SEDT,P,1,-2.033741259
NLA06608-1150,505668,1,YES,SEDB,P,,1.201796914
NLA06608-1151,505837,1,YES,SEDT,P,1,-13.84125683
NLA06608-1155,506957,1,YES,SEDT,P,1,-43.97570882
NLA06608-1155,506958,1,YES,SEDB,P,,-38.0313525
NLA06608-1162,517887,1,YES,SEDT,P,1,-18.7713751
NLA06608-1162,517888,1,YES,SEDB,P,,-15.56825345
NLA06608-1163,504618,1,YES,SEDT,P,1,-16.48816955
NLA06608-1163,504617,1,YES,SEDB,P,,-13.21073799
NLA06608-1164,516957,1,YES,SEDT,P,1,6.085502845
NLA06608-1166,505367,1,YES,SEDT,P,1,-10.90067535
NLA06608-1166,505368,1,YES,SEDB,P,,-11.18288877
NLA06608-1167,517377,1,YES,SEDT,P,1,-22.8738622
NLA06608-1167,517378,1,YES,SEDB,P,,-30.31457294
NLA06608-1170,502367,1,YES,SEDT,P,1,-2.817487837
NLA06608-1172,505267,1,YES,SEDT,P,1,1.998273046
NLA06608-1174,508297,1,YES,SEDT,P,1,-0.190700479
NLA06608-1174,508298,1,YES,SEDB,P,,-2.978319014
NLA06608-1175,507807,1,YES,SEDT,P,1,-4.481937078
NLA06608-1175,507808,1,YES,SEDB,P,,4.190613789
NLA06608-1177,505297,1,YES,SEDT,P,1,-0.644633365
NLA06608-1181,504647,1,YES,SEDT,P,1,1.543933729
NLA06608-1183,509467,1,YES,SEDT,P,1,6.56657599
NLA06608-1183,509468,1,YES,SEDB,P,,1.42231575
NLA06608-1185,502057,1,YES,SEDT,P,1,-14.88157849
NLA06608-1185,502058,1,YES,SEDB,P,,-19.24968972
NLA06608-1189,517527,1,YES,SEDT,P,1,-2.32279436
NLA06608-1189,517528,1,YES,SEDB,P,,-2.100139872
NLA06608-1190,504437,1,YES,SEDT,P,1,17.20343688
NLA06608-1191,514637,1,YES,SEDT,P,1,-15.69465577
NLA06608-1195,504608,1,YES,SEDT,P,1,-23.04948472
NLA06608-1195,504607,1,YES,SEDB,P,,-18.80031263
NLA06608-1198,506687,1,YES,SEDT,P,1,-18.5897118
NLA06608-1198,506688,1,YES,SEDB,P,,-15.24961654
NLA06608-1199,512757,1,YES,SEDT,P,1,-7.659332726
NLA06608-1204,516487,1,YES,SEDT,P,1,17.00787042
NLA06608-1206,504047,1,YES,SEDT,P,1,2.398073001
NLA06608-1206,504048,1,YES,SEDB,P,,-0.087297406
NLA06608-1207,505377,1,YES,SEDT,P,1,-2.736493197
NLA06608-1207,505378,1,YES,SEDB,P,,-21.64657907
NLA06608-1208,506077,1,YES,SEDT,P,1,-26.67319049
NLA06608-1208,512648,2,NO,SEDT,P,,-19.86569773
NLA06608-1209,510017,1,YES,SEDT,P,1,-5.858672546
NLA06608-1210,513337,1,YES,SEDT,P,1,-30.04126205
NLA06608-1210,513338,1,YES,SEDB,P,,-28.80156199
NLA06608-1217,506187,1,YES,SEDT,P,1,4.948191927
NLA06608-1219,503497,1,YES,SEDT,P,1,-29.22200722
NLA06608-1219,503498,1,YES,SEDB,P,,-29.88826949
NLA06608-1220,502877,1,YES,SEDT,P,1,4.154445498
NLA06608-1222,504277,1,YES,SEDT,P,1,8.342071822
NLA06608-1222,504278,1,YES,SEDB,P,,-3.896004355
NLA06608-1223,507177,1,YES,SEDT,P,1,-12.26188389
NLA06608-1223,507178,1,YES,SEDB,P,,1.968040698
