SITE_ID,SAMPLE_ID,VISIT_NO,INDXSAMP_LDC,SAMPLE_TYPE,SAMPLE_CATEGORY,PRIMESEDT,LDC_ADJ
NLA06608-0065,509477,2,NO,SEDT,P,,20.68263813
NLA06608-0065,509478,2,NO,SEDB,P,,18.72174143
NLA06608-0066,502638,1,YES,SEDT,P,1,-6.127529248
NLA06608-0066,517867,2,NO,SEDT,P,,1.082600853
NLA06608-0068,508567,1,YES,SEDT,P,1,-6.059389991
NLA06608-0068,513097,2,NO,SEDT,P,,10.69297068
NLA06608-0068,513117,2,NO,SEDT,D,,9.258617786
NLA06608-0069,507327,1,YES,SEDT,P,1,-22.5423245
NLA06608-0069,507328,1,YES,SEDB,P,,-2.821527272
NLA06608-0069,512397,2,NO,SEDT,P,,-17.07779135
NLA06608-0069,512398,2,NO,SEDB,P,,-10.81937891
NLA06608-0071,516527,1,YES,SEDT,P,1,-14.3364014
NLA06608-0071,516528,1,YES,SEDB,P,,-24.47748822
NLA06608-0071,518017,2,NO,SEDT,P,,-29.92430149
NLA06608-0071,518018,2,NO,SEDB,P,,-20.389793
NLA06608-0072,507117,1,YES,SEDT,P,1,-5.317245422
NLA06608-0072,507657,2,NO,SEDT,P,,-12.33841672
NLA06608-0073,502417,1,NO,SEDT,P,,-6.92588291
NLA06608-0073,510757,2,YES,SEDT,P,2,-5.301632507
NLA06608-0073,510758,2,YES,SEDB,P,,-7.678306575
NLA06608-0076,514737,1,YES,SEDT,P,1,-13.89250275
NLA06608-0076,516457,2,NO,SEDT,D,,-6.567159804
NLA06608-0076,516467,2,NO,SEDT,P,,-3.535577479
NLA06608-0077,517848,1,YES,SEDT,P,1,-36.93949824
NLA06608-0077,517217,2,NO,SEDT,P,,-46.41852975
NLA06608-0078,504627,1,YES,SEDT,P,1,-25.53908739
NLA06608-0078,504628,1,YES,SEDB,P,,-24.82430188
NLA06608-0078,509267,2,NO,SEDT,P,,-35.11664021
NLA06608-0079,508587,1,YES,SEDT,P,1,-28.90702757
NLA06608-0079,508588,1,YES,SEDB,P,,-30.28726442
NLA06608-0079,502128,2,NO,SEDT,P,,-29.66767888
NLA06608-0079,503727,2,NO,SEDT,D,,-26.61366282
NLA06608-0079,502127,2,NO,SEDB,P,,-35.46425697
NLA06608-0079,503728,2,NO,SEDB,D,,-37.39302532
NLA06608-0080,517207,1,YES,SEDT,P,1,-22.61490323
NLA06608-0080,516267,2,NO,SEDT,P,,-27.60760218
NLA06608-0080,516268,2,NO,SEDB,P,,-25.12716801
NLA06608-0081,506367,1,YES,SEDT,P,1,-2.438802307
NLA06608-0081,506368,1,YES,SEDB,P,,13.19888894
NLA06608-0081,517777,2,NO,SEDT,P,,-8.614574816
NLA06608-0081,517778,2,NO,SEDB,P,,17.00733827
NLA06608-0083,502697,1,YES,SEDT,P,1,-22.58088201
NLA06608-0083,502698,1,YES,SEDB,P,,-22.37969963
NLA06608-0083,506977,2,NO,SEDT,P,,-20.3990887
NLA06608-0083,506978,2,NO,SEDB,P,,-23.12443847
NLA06608-0085,503057,1,YES,SEDT,P,1,-6.786838997
NLA06608-0085,511467,2,NO,SEDT,P,,-10.45499102
NLA06608-0086,504057,1,NO,SEDT,P,,4.987768992
NLA06608-0086,517347,2,YES,SEDT,P,2,-1.405750719
NLA06608-0086,517348,2,YES,SEDB,P,,15.93138326
NLA06608-0089,514197,1,YES,SEDT,P,1,-5.564701988
NLA06608-0089,509377,2,NO,SEDT,P,,-9.825329696
NLA06608-0090,504967,1,YES,SEDT,P,1,-12.89740456
NLA06608-0090,504968,1,YES,SEDB,P,,-28.94338585
NLA06608-0090,509307,2,NO,SEDT,P,,-11.94476851
NLA06608-0090,509308,2,NO,SEDB,P,,-8.509008156
NLA06608-0091,514978,1,YES,SEDT,P,1,-12.79672668
NLA06608-0091,514977,1,YES,SEDB,P,,-18.39999948
NLA06608-0091,509987,2,NO,SEDT,P,,-16.75021894
NLA06608-0091,509988,2,NO,SEDB,P,,-21.35657449
NLA06608-0099,514897,1,YES,SEDT,P,1,-6.500362397
NLA06608-0099,514898,1,YES,SEDB,P,,-6.844680903
NLA06608-0099,515797,2,NO,SEDT,P,,-4.052876123
NLA06608-0099,515798,2,NO,SEDB,P,,-5.782550343
NLA06608-0101,512227,1,YES,SEDT,P,1,-1.223842432
NLA06608-0101,512228,1,YES,SEDB,P,,3.226582022
NLA06608-0102,513347,1,YES,SEDT,P,1,-6.755049419
NLA06608-0102,513348,1,YES,SEDB,P,,-14.92295714
NLA06608-0104,506357,1,YES,SEDT,P,1,-29.25049022
NLA06608-0104,512347,2,NO,SEDT,P,,-25.43855
NLA06608-0105,502407,1,YES,SEDT,P,1,-0.518411816
NLA06608-0105,510988,2,NO,SEDT,P,,6.564952064
NLA06608-0107,514707,1,YES,SEDT,P,1,2.712133784
NLA06608-0107,514708,1,YES,SEDB,P,,-1.852143366
NLA06608-0110,512557,1,YES,SEDT,P,1,11.02889973
NLA06608-0110,512558,1,YES,SEDB,P,,0.803832305
NLA06608-0111,515017,1,YES,SEDT,P,1,-21.07069888
NLA06608-0112,502267,1,YES,SEDT,P,1,-23.30536826
NLA06608-0113,505577,1,YES,SEDT,P,1,-15.0954973
NLA06608-0113,505578,1,YES,SEDB,P,,-8.779722686
NLA06608-0115,505177,1,YES,SEDT,P,1,-20.43762125
NLA06608-0115,505178,1,YES,SEDB,P,,-0.584252334
NLA06608-0116,503347,1,YES,SEDT,P,1,11.20479622
NLA06608-0120,502568,1,YES,SEDT,P,1,-16.21591468
NLA06608-0120,517007,2,NO,SEDT,P,,-14.8867911
NLA06608-0124,512187,1,YES,SEDT,P,1,-27.74971673
NLA06608-0124,512188,1,YES,SEDB,P,,-32.79388149
NLA06608-0126,503457,1,YES,SEDT,P,1,-34.07027627
NLA06608-0126,503458,1,YES,SEDB,P,,-20.42516045
NLA06608-0126,517367,2,NO,SEDT,P,,-25.68513137
NLA06608-0126,517368,2,NO,SEDB,P,,-21.21806039
NLA06608-0127,505607,1,YES,SEDT,P,1,-2.024842858
NLA06608-0128,514107,1,YES,SEDT,P,1,-10.66741155
NLA06608-0128,510177,2,NO,SEDT,P,,-6.121601123
NLA06608-0129,507727,1,YES,SEDT,P,1,10.94865757
NLA06608-0129,507728,1,YES,SEDB,P,,5.599307231
NLA06608-0130,511967,1,YES,SEDT,P,1,-8.191978788
NLA06608-0132,511127,1,YES,SEDT,P,1,-1.789564606
NLA06608-0134,508137,1,YES,SEDT,P,1,-12.37601796
NLA06608-0134,508138,1,YES,SEDB,P,,-4.334973288
NLA06608-0139,504418,1,YES,SEDT,P,1,-24.38013974
NLA06608-0139,504417,1,YES,SEDB,P,,-27.42661231
NLA06608-0140,514857,1,YES,SEDT,P,1,-20.29611689
NLA06608-0141,505348,1,YES,SEDT,P,1,-2.243090706
NLA06608-0141,505347,1,YES,SEDB,P,,3.663504654
NLA06608-0142,514847,1,YES,SEDT,P,1,2.204023723
NLA06608-0142,514848,1,YES,SEDB,P,,-13.55722175
NLA06608-0144,514657,1,YES,SEDT,P,1,-11.34842824
NLA06608-0144,508947,2,NO,SEDT,P,,-11.87437283
NLA06608-0148,503897,1,YES,SEDT,P,1,-2.143363329
NLA06608-0149,505657,1,YES,SEDT,P,1,-11.18693743
NLA06608-0149,505658,1,YES,SEDB,P,,3.384742611
NLA06608-0150,509937,1,YES,SEDT,P,1,-8.863803255
NLA06608-0150,509938,1,YES,SEDB,P,,-10.9308891
NLA06608-0152,509197,1,YES,SEDT,P,1,-16.25831797
NLA06608-0153,512108,1,YES,SEDT,P,1,11.90843319
NLA06608-0155,503868,1,YES,SEDT,P,1,-19.86376465
NLA06608-0155,503867,1,YES,SEDB,P,,-22.46630175
NLA06608-0158,511698,1,YES,SEDT,P,1,5.261717432
NLA06608-0158,511697,1,YES,SEDB,P,,5.644897213
NLA06608-0161,513687,1,YES,SEDT,P,1,-17.91933378
NLA06608-0161,513688,1,YES,SEDB,P,,-17.80023974
NLA06608-0162,509557,1,YES,SEDT,P,1,-2.352485371
NLA06608-0162,509558,1,YES,SEDB,P,,1.93401424
NLA06608-0167,506747,1,YES,SEDT,P,1,-34.59737437
NLA06608-0167,506748,1,YES,SEDB,P,,-11.41001122
NLA06608-0167,509817,2,NO,SEDT,P,,-46.31144736
NLA06608-0167,509818,2,NO,SEDB,P,,-32.11788739
NLA06608-0168,514297,1,YES,SEDT,P,1,-12.2863011
NLA06608-0169,502377,1,YES,SEDT,P,1,-20.48225216
NLA06608-0169,509857,2,NO,SEDT,P,,-11.48946632
NLA06608-0170,517447,1,YES,SEDT,P,1,-2.981894024
NLA06608-0170,517448,1,YES,SEDB,P,,-6.722693366
NLA06608-0173,508078,1,YES,SEDT,P,1,38.15579804
NLA06608-0174,506287,1,YES,SEDT,P,1,-39.8200359
NLA06608-0174,506288,1,YES,SEDB,P,,-34.15987894
NLA06608-0174,515378,2,NO,SEDT,P,,-25.22978132
NLA06608-0174,515377,2,NO,SEDB,P,,-30.69525036
NLA06608-0175,509787,1,YES,SEDT,P,1,-8.481441957
NLA06608-0176,516277,1,YES,SEDT,P,1,-4.260495808
NLA06608-0176,516278,1,YES,SEDB,P,,5.747838176
NLA06608-0177,512247,1,YES,SEDT,P,1,2.483921873
NLA06608-0179,503147,1,YES,SEDT,P,1,-13.59498425
NLA06608-0179,515597,2,NO,SEDT,P,,-12.5175708
NLA06608-0180,510107,1,YES,SEDT,P,1,-14.17791787
NLA06608-0183,505167,1,YES,SEDT,P,1,-11.89962564
NLA06608-0183,505168,1,YES,SEDB,P,,-9.360200806
NLA06608-0184,514937,1,YES,SEDT,P,1,-19.22323139
NLA06608-0185,507237,1,YES,SEDT,P,1,1.422670971
NLA06608-0189,502747,1,YES,SEDT,P,1,-20.55964711
NLA06608-0189,506018,2,NO,SEDT,P,,-7.456082318
NLA06608-0190,507697,1,YES,SEDT,P,1,13.01246709
NLA06608-0190,507698,1,YES,SEDB,P,,5.37056034
NLA06608-0191,512427,1,YES,SEDT,P,1,-3.033961783
NLA06608-0195,503447,1,YES,SEDT,P,1,-31.27236462
NLA06608-0195,503448,1,YES,SEDB,P,,-38.67119513
NLA06608-0198,510657,1,YES,SEDT,P,1,-25.71700735
NLA06608-0198,510658,1,YES,SEDB,P,,-21.79652753
NLA06608-0203,513397,1,YES,SEDT,P,1,-0.736449793
NLA06608-0204,517027,1,YES,SEDT,P,1,-14.0426202
NLA06608-0207,503077,1,YES,SEDT,P,1,-0.302149513
NLA06608-0207,509207,2,NO,SEDT,P,,15.09230937
NLA06608-0208,518187,1,YES,SEDT,P,1,12.66193657
NLA06608-0209,506208,1,YES,SEDT,P,1,-3.528561054
NLA06608-0209,506207,1,YES,SEDB,P,,7.933584834
NLA06608-0209,517747,2,NO,SEDT,P,,-3.103076029
NLA06608-0209,517748,2,NO,SEDB,P,,-0.888987175
NLA06608-0211,511777,1,YES,SEDT,P,1,5.289782022
NLA06608-0211,511778,1,YES,SEDB,P,,1.594507301
NLA06608-0212,513037,1,YES,SEDT,P,1,-11.20531125
NLA06608-0215,510257,1,YES,SEDT,P,1,-28.94247841
NLA06608-0215,510258,1,YES,SEDB,P,,-37.34528265
NLA06608-0216,514517,1,YES,SEDT,P,1,-21.40482472
NLA06608-0217,505507,1,YES,SEDT,P,1,-0.271032299
NLA06608-0219,511577,1,YES,SEDT,P,1,3.19731949
NLA06608-0219,511578,1,YES,SEDB,P,,-13.05294832
NLA06608-0220,513357,1,YES,SEDT,P,1,-36.09739234
NLA06608-0220,513358,1,YES,SEDB,P,,-33.73186562
NLA06608-0221,506127,1,YES,SEDT,P,1,-10.64818507
NLA06608-0222,503657,1,YES,SEDT,P,1,-25.33307357
NLA06608-0222,503658,1,YES,SEDB,P,,-26.10680662
NLA06608-0223,502917,1,YES,SEDT,P,1,0.80003609
NLA06608-0223,502827,2,NO,SEDT,P,,5.709127923
NLA06608-0224,506027,1,YES,SEDT,P,1,-12.58173962
NLA06608-0224,516477,2,NO,SEDT,P,,-22.67667046
NLA06608-0225,514038,1,YES,SEDT,P,1,-3.755177931
NLA06608-0226,508468,1,YES,SEDT,P,1,7.067736308
NLA06608-0226,508467,1,YES,SEDB,P,,0.797205097
NLA06608-0228,502288,1,YES,SEDT,P,1,-9.593647502
NLA06608-0228,502297,1,NO,SEDT,D,,-12.16376774
NLA06608-0228,504887,2,NO,SEDT,P,,-15.21341092
NLA06608-0229,517427,1,YES,SEDT,P,1,13.96864049
NLA06608-0229,517428,1,YES,SEDB,P,,17.81728749
NLA06608-0234,515567,1,YES,SEDT,P,1,-8.592370102
NLA06608-0234,515568,1,YES,SEDB,P,,8.389931151
NLA06608-0235,514998,1,YES,SEDT,P,1,-22.23712561
NLA06608-0235,514997,1,YES,SEDB,P,,3.845714985
NLA06608-0237,502427,1,YES,SEDT,P,1,3.63745781
NLA06608-0237,515147,2,NO,SEDT,P,,11.05687897
NLA06608-0238,503637,1,YES,SEDT,P,1,-26.11682572
NLA06608-0238,503638,1,YES,SEDB,P,,-2.23237822
NLA06608-0239,507067,1,YES,SEDT,P,1,-21.47386761
NLA06608-0240,507617,1,YES,SEDT,P,1,-6.878830624
NLA06608-0241,502997,1,YES,SEDT,P,1,1.052468606
NLA06608-0242,513537,1,YES,SEDT,P,1,7.217430035
NLA06608-0242,513538,1,YES,SEDB,P,,-5.32476367
NLA06608-0243,513067,1,YES,SEDT,P,1,2.140945997
NLA06608-0244,514587,1,YES,SEDT,P,1,-23.59466592
NLA06608-0245,507347,1,YES,SEDT,P,1,7.627288323
NLA06608-0247,512778,1,YES,SEDT,P,1,-18.40888698
NLA06608-0247,512777,1,YES,SEDB,P,,-19.67245373
NLA06608-0253,508447,1,YES,SEDT,P,1,-9.066199597
NLA06608-0254,506548,1,YES,SEDT,P,1,-20.18221163
NLA06608-0254,506547,1,YES,SEDB,P,,-18.4384114
NLA06608-0255,508217,1,YES,SEDT,P,1,-2.782322132
NLA06608-0257,507577,1,YES,SEDT,P,1,-1.310256393
NLA06608-0259,515137,1,YES,SEDT,P,1,-29.2987675
NLA06608-0259,515138,1,YES,SEDB,P,,-32.57720046
NLA06608-0260,503517,1,YES,SEDT,P,1,11.1194725
NLA06608-0268,516647,1,YES,SEDT,P,1,-3.356142829
NLA06608-0271,505427,1,YES,SEDT,P,1,-24.64258907
NLA06608-0275,515157,1,YES,SEDT,P,1,-18.83206265
NLA06608-0275,515158,1,YES,SEDB,P,,-18.78597856
NLA06608-0276,507037,1,YES,SEDT,P,1,0.138724834
NLA06608-0279,502117,1,YES,SEDT,P,1,-9.433123445
NLA06608-0279,502118,1,YES,SEDB,P,,-10.4261176
NLA06608-0280,515007,1,YES,SEDT,P,1,-12.83107876
NLA06608-0281,506117,1,YES,SEDT,P,1,1.696131126
NLA06608-0284,510627,1,YES,SEDT,P,1,1.386296224
NLA06608-0285,504587,1,YES,SEDT,P,1,7.708336087
NLA06608-0285,504588,1,YES,SEDB,P,,21.71078542
NLA06608-0290,504567,1,YES,SEDT,P,1,-15.41417035
NLA06608-0290,517567,2,NO,SEDT,P,,-14.00327943
NLA06608-0291,505147,1,YES,SEDT,P,1,-18.02676955
NLA06608-0291,505148,1,YES,SEDB,P,,-5.715725927
NLA06608-0293,508827,1,YES,SEDT,P,1,-19.38803792
NLA06608-0293,508828,1,YES,SEDB,P,,-12.31369028
NLA06608-0294,505558,1,YES,SEDT,P,1,-16.10582684
NLA06608-0294,505557,1,YES,SEDB,P,,-11.21850214
NLA06608-0297,512367,1,YES,SEDT,P,1,6.257061279
NLA06608-0299,513957,1,YES,SEDT,P,1,-21.51503578
NLA06608-0299,513958,1,YES,SEDB,P,,-13.7178233
NLA06608-0302,506537,1,YES,SEDT,P,1,-44.16554995
NLA06608-0302,506538,1,YES,SEDB,P,,-26.20185448
NLA06608-0303,511257,1,YES,SEDT,P,1,-32.00067366
NLA06608-0306,515187,1,YES,SEDT,P,1,-3.61451372
NLA06608-0312,514567,1,YES,SEDT,P,1,-11.98603819
NLA06608-0313,505387,1,YES,SEDT,P,1,10.44512596
NLA06608-0318,505977,1,YES,SEDT,P,1,-15.17486376
NLA06608-0318,505978,1,YES,SEDB,P,,-16.63490561
NLA06608-0319,512997,1,YES,SEDT,P,1,-6.434293378
NLA06608-0324,511027,1,YES,SEDT,P,1,-17.25758333
NLA06608-0325,507857,1,YES,SEDT,P,1,-17.20142901
NLA06608-0325,507858,1,YES,SEDB,P,,-24.76659889
NLA06608-0326,509827,1,YES,SEDT,P,1,13.97395075
NLA06608-0326,509828,1,YES,SEDB,P,,8.284915659
NLA06608-0327,502197,1,YES,SEDT,P,1,27.01361588
NLA06608-0328,512697,1,YES,SEDT,P,1,-2.138050131
NLA06608-0328,507997,2,NO,SEDT,P,,-2.538973185
NLA06608-0330,510997,1,YES,SEDT,P,1,-18.16779707
NLA06608-0332,509887,1,YES,SEDT,P,1,-8.403638852
NLA06608-0333,514717,1,YES,SEDT,P,1,-7.198153993
NLA06608-0333,514718,1,YES,SEDB,P,,-14.37237491
NLA06608-0334,503297,1,YES,SEDT,P,1,-32.86919467
NLA06608-0334,503298,1,YES,SEDB,P,,-17.29360661
NLA06608-0337,506377,1,YES,SEDT,P,1,25.26407714
NLA06608-0337,506378,1,YES,SEDB,P,,45.29854632
NLA06608-0339,514137,1,YES,SEDT,P,1,-42.86765766
NLA06608-0339,514138,1,YES,SEDB,P,,-33.41650347
NLA06608-0340,503337,1,YES,SEDT,P,1,5.753565506
NLA06608-0341,517577,1,YES,SEDT,P,1,-26.35258513
NLA06608-0341,517578,1,YES,SEDB,P,,-25.80967647
NLA06608-0343,512167,1,YES,SEDT,P,1,-28.08540242
NLA06608-0343,512168,1,YES,SEDB,P,,-24.76563309
NLA06608-0344,504447,1,YES,SEDT,P,1,-11.56177017
NLA06608-0345,515077,1,YES,SEDT,P,1,-23.19910902
NLA06608-0350,514887,1,YES,SEDT,P,1,1.574137452
NLA06608-0350,514888,1,YES,SEDB,P,,2.224218806
NLA06608-0354,505477,1,YES,SEDT,P,1,-7.264592015
NLA06608-0356,504847,1,YES,SEDT,P,1,-20.82568408
NLA06608-0357,507027,1,YES,SEDT,P,1,1.71669071
NLA06608-0358,505467,1,YES,SEDT,P,1,5.451323122
NLA06608-0358,505468,1,YES,SEDB,P,,-4.716339951
NLA06608-0359,503067,1,YES,SEDT,P,1,-26.36059905
NLA06608-0359,503068,1,YES,SEDB,P,,-14.56076832
NLA06608-0361,507337,1,YES,SEDT,P,1,-1.712619874
NLA06608-0363,511527,1,YES,SEDT,P,1,-16.67625552
NLA06608-0363,511528,1,YES,SEDB,P,,-2.333784931
NLA06608-0366,502097,1,YES,SEDT,P,1,-20.50712534
NLA06608-0366,502098,1,YES,SEDB,P,,-40.27330006
NLA06608-0367,508977,1,YES,SEDT,P,1,-15.37861302
NLA06608-0369,505587,1,YES,SEDT,P,1,-11.82400574
NLA06608-0369,505588,1,YES,SEDB,P,,-7.991258106
NLA06608-0372,502037,1,YES,SEDT,P,1,-3.635277604
NLA06608-0373,504837,1,YES,SEDT,P,1,-10.88731031
NLA06608-0377,502507,1,YES,SEDT,P,1,-18.54343449
NLA06608-0378,514077,1,YES,SEDT,P,1,3.041813192
NLA06608-0384,503477,1,YES,SEDT,P,1,-27.99973821
NLA06608-0384,503478,1,YES,SEDB,P,,-36.06283248
NLA06608-0385,510637,1,YES,SEDT,P,1,-10.83370047
NLA06608-0385,510638,1,YES,SEDB,P,,-36.37380284
NLA06608-0386,506057,1,YES,SEDT,P,1,-4.718188124
NLA06608-0393,507147,1,YES,SEDT,P,1,17.38959307
NLA06608-0395,505997,1,YES,SEDT,P,1,-18.6141716
NLA06608-0399,507907,1,YES,SEDT,P,1,-11.95805816
NLA06608-0399,507908,1,YES,SEDB,P,,-7.083818471
NLA06608-0401,513087,1,YES,SEDT,P,1,-9.301753934
NLA06608-0401,513088,1,YES,SEDB,P,,-6.50735295
NLA06608-0402,517297,2,YES,SEDT,P,2,-17.1544314
NLA06608-0403,508418,1,YES,SEDT,P,1,-10.49296328
NLA06608-0403,508417,1,YES,SEDB,P,,-15.73037616
NLA06608-0405,517077,1,YES,SEDT,P,1,-8.567666358
NLA06608-0406,512087,1,YES,SEDT,P,1,15.07017708
NLA06608-0407,503877,1,YES,SEDT,P,1,-39.82986651
NLA06608-0407,503878,1,YES,SEDB,P,,-29.5799393
NLA06608-0408,502557,1,YES,SEDT,P,1,4.095362818
NLA06608-0413,506767,1,YES,SEDT,P,1,6.706277251
NLA06608-0414,505317,1,YES,SEDT,P,1,10.95160405
NLA06608-0414,505318,1,YES,SEDB,P,,-5.583819474
NLA06608-0418,507247,1,YES,SEDT,P,1,-3.608511953
NLA06608-0418,507248,1,YES,SEDB,P,,-2.287179428
NLA06608-0421,504947,1,YES,SEDT,P,1,-11.57959338
NLA06608-0425,504027,1,YES,SEDT,P,1,-16.0375297
NLA06608-0426,516397,1,YES,SEDT,P,1,-18.77309685
NLA06608-0426,516398,1,YES,SEDB,P,,-16.06306307
NLA06608-0432,506567,1,YES,SEDT,P,1,4.043604337
NLA06608-0433,503917,1,YES,SEDT,P,1,-14.67102529
NLA06608-0433,503918,1,YES,SEDB,P,,-9.251355095
NLA06608-0435,506587,1,YES,SEDT,P,1,-16.99836314
NLA06608-0436,516637,1,YES,SEDT,P,1,6.650362624
NLA06608-0439,514017,1,YES,SEDT,P,1,-24.96646336
NLA06608-0439,514018,1,YES,SEDB,P,,-11.91695112
NLA06608-0440,507637,1,YES,SEDT,P,1,-7.20128368
NLA06608-0442,512517,1,YES,SEDT,P,1,-32.95050592
NLA06608-0442,512518,1,YES,SEDB,P,,-28.87242312
NLA06608-0444,502227,1,YES,SEDT,P,1,3.017550605
NLA06608-0445,515037,1,YES,SEDT,P,1,-18.50952835
NLA06608-0447,509727,1,YES,SEDT,P,1,8.092300727
NLA06608-0449,508507,1,YES,SEDT,P,1,-11.17435392
NLA06608-0449,508508,1,YES,SEDB,P,,-1.063195035
NLA06608-0452,502238,1,YES,SEDT,P,1,-8.084693353
NLA06608-0453,507187,1,YES,SEDT,P,1,-12.36825447
NLA06608-0453,507188,1,YES,SEDB,P,,-8.13990377
NLA06608-0454,503817,1,YES,SEDT,P,1,-16.92909496
NLA06608-0454,503818,1,YES,SEDB,P,,-27.70448367
NLA06608-0456,503927,1,YES,SEDT,P,1,-14.6151051
NLA06608-0458,502887,1,YES,SEDT,P,1,-1.591827798
NLA06608-0459,507707,1,YES,SEDT,P,1,-6.241222918
NLA06608-0462,509657,1,YES,SEDT,P,1,2.763169053
NLA06608-0462,509658,1,YES,SEDB,P,,3.747900187
NLA06608-0463,515387,1,YES,SEDT,P,1,-7.746195893
NLA06608-0467,505157,1,YES,SEDT,P,1,-18.36969336
NLA06608-0467,505158,1,YES,SEDB,P,,-2.274870955
NLA06608-0468,510647,1,YES,SEDT,P,1,2.309412038
NLA06608-0468,510648,1,YES,SEDB,P,,4.439533896
NLA06608-0469,513467,1,YES,SEDT,P,1,-2.146449057
NLA06608-0469,513468,1,YES,SEDB,P,,-3.825885473
NLA06608-0470,507287,1,YES,SEDT,P,1,-4.451627589
NLA06608-0470,507288,1,YES,SEDB,P,,-7.605276899
NLA06608-0471,506738,1,YES,SEDT,P,1,-13.48699215
NLA06608-0471,506737,1,YES,SEDB,P,,-11.58303643
NLA06608-0472,507477,1,YES,SEDT,P,1,0.677574423
NLA06608-0473,505697,1,YES,SEDT,P,1,0.771515209
NLA06608-0479,505437,1,YES,SEDT,P,1,-9.821511378
NLA06608-0480,517597,2,YES,SEDT,P,2,-3.015318854
NLA06608-0483,514537,1,YES,SEDT,P,1,9.133775567
NLA06608-0484,507077,1,YES,SEDT,P,1,-13.49712731
NLA06608-0488,504927,1,YES,SEDT,P,1,-2.642085259
NLA06608-0489,504557,1,YES,SEDT,P,1,-20.51331939
NLA06608-0491,512817,1,YES,SEDT,P,1,-13.1556803
NLA06608-0491,512818,1,YES,SEDB,P,,-2.626895065
NLA06608-0493,506487,1,YES,SEDT,P,1,-10.95028307
NLA06608-0494,503617,1,YES,SEDT,P,1,-20.39138686
NLA06608-0494,503618,1,YES,SEDB,P,,-16.21548004
NLA06608-0495,513837,1,YES,SEDT,P,1,-0.759878585
NLA06608-0496,514087,1,YES,SEDT,P,1,-27.18454345
NLA06608-0497,511847,1,YES,SEDT,P,1,33.08835332
NLA06608-0498,512217,1,YES,SEDT,P,1,-5.733092647
NLA06608-0498,512218,1,YES,SEDB,P,,-3.773745513
NLA06608-0500,507967,1,YES,SEDT,P,1,3.961211843
NLA06608-0501,507167,1,YES,SEDT,P,1,6.996705872
NLA06608-0502,515738,1,YES,SEDT,P,1,-5.99996548
NLA06608-0502,515737,1,YES,SEDB,P,,-23.35710821
NLA06608-0503,512887,1,YES,SEDT,P,1,-31.50458095
NLA06608-0503,512888,1,YES,SEDB,P,,-32.40609909
NLA06608-0508,502467,1,YES,SEDT,P,1,-14.48203469
NLA06608-0508,502468,1,YES,SEDB,P,,-10.86912734
NLA06608-0509,502517,1,YES,SEDT,P,1,2.799172668
NLA06608-0510,503467,1,YES,SEDT,P,1,-24.8541053
NLA06608-0510,503468,1,YES,SEDB,P,,-20.5392944
NLA06608-0511,512207,1,YES,SEDT,P,1,-11.51509851
NLA06608-0512,512457,1,YES,SEDT,P,1,-7.178640589
NLA06608-0512,512458,1,YES,SEDB,P,,-12.64217252
NLA06608-0514,502527,1,YES,SEDT,P,1,-21.38550185
NLA06608-0515,514177,1,YES,SEDT,P,1,-21.05541693
NLA06608-0515,514178,1,YES,SEDB,P,,-36.09734616
NLA06608-0523,512897,1,YES,SEDT,P,1,-20.132499
NLA06608-0523,512898,1,YES,SEDB,P,,-13.48946854
NLA06608-0526,506677,1,YES,SEDT,P,1,3.731449554
NLA06608-0526,506678,1,YES,SEDB,P,,12.56925602
NLA06608-0528,504907,1,YES,SEDT,P,1,-7.223641817
NLA06608-0529,517817,1,YES,SEDT,P,1,28.0633004
NLA06608-0529,517818,1,YES,SEDB,P,,20.76069589
NLA06608-0531,505227,1,YES,SEDT,P,1,-19.9788495
NLA06608-0531,505228,1,YES,SEDB,P,,-32.77251797
NLA06608-0533,505027,1,YES,SEDT,P,1,-14.93754553
NLA06608-0537,502647,1,YES,SEDT,P,1,12.36987013
NLA06608-0540,509907,1,YES,SEDT,P,1,-14.95939986
NLA06608-0541,514257,1,YES,SEDT,P,1,4.037616598
NLA06608-0542,513567,1,YES,SEDT,P,1,4.878665846
NLA06608-0542,513568,1,YES,SEDB,P,,0.740577787
NLA06608-0546,513137,1,YES,SEDT,P,1,-25.42370293
NLA06608-0546,513138,1,YES,SEDB,P,,4.471457975
NLA06608-0547,506577,1,YES,SEDT,P,1,-8.835323021
NLA06608-0550,504387,1,YES,SEDT,P,1,-4.654330117
NLA06608-0550,504388,1,YES,SEDB,P,,0.566838443
NLA06608-0551,509447,1,YES,SEDT,P,1,-16.2534661
NLA06608-0555,506937,1,YES,SEDT,P,1,-25.85325745
NLA06608-0555,506938,1,YES,SEDB,P,,-24.2792194
NLA06608-0558,506968,1,YES,SEDT,P,1,-12.13927966
NLA06608-0558,506967,1,YES,SEDB,P,,-1.910815755
NLA06608-0560,507667,1,YES,SEDT,P,1,-19.07486827
NLA06608-0561,513757,1,YES,SEDT,P,1,7.701780828
NLA06608-0561,513758,1,YES,SEDB,P,,1.041153992
NLA06608-0562,508777,1,YES,SEDT,P,1,10.05836947
NLA06608-0562,508778,1,YES,SEDB,P,,-29.74816326
NLA06608-0562,508987,2,NO,SEDT,P,,9.68795367
NLA06608-0562,508988,2,YES,SEDB,P,,15.89446796
NLA06608-0564,509498,1,YES,SEDT,P,1,-3.476448163
NLA06608-0565,507517,1,YES,SEDT,P,1,13.16823292
