SITE_ID,VISIT_NO,SITE_TYPE,LAKE_SAMP,SAMPLED_CORE,DATECORE,INDXSAMP_CORE,SAMPLE_CATEGORY,SAMPLE_ID,SAMPLE_TYPE,SAMPLE_CLASS,CORE_LENGTH,INTERVAL_FROM,INTERVAL_TO,FLAG_FLD_CORE,COMMENT_FLD_CORE,DATATYPE,VISIT_ID
NLA06608-0041,1,PROB_Lake,Target_Sampled,YES (Top only),6/12/2007,YES,P,502587,SEDT,TOP,11,0,1,F2,COULD NOT TAKE SEDIMENT SAMPLE AT INDEX SITE BECAUSE IT WAS TOO ROCKY--HAD TO MOVE TO INLET,CORE,7520
NLA06608-0041,2,PROB_Lake,Target_Sampled,YES (Top only),7/11/2007,NO,P,502498,SEDT,TOP,12,0,1,,,CORE,7521
NLA06608-0042,1,PROB_Lake,Target_Sampled,YES (Top only),6/22/2007,YES,P,505927,SEDT,TOP,14,0,1,,,CORE,7522
NLA06608-0042,1,PROB_Lake,Target_Sampled,YES (Top only),6/22/2007,YES,P,505928,SEDB,BOT,14,,,K,RESERVOIR-NOT TAKEN,CORE,7522
NLA06608-0042,2,PROB_Lake,Target_Sampled,YES (Top only),7/6/2007,NO,P,511667,SEDT,TOP,13,0,1,,,CORE,7523
NLA06608-0043,1,PROB_Lake,Target_Sampled,YES (Both),7/31/2007,YES,P,512707,SEDT,TOP,27.5,0,1,,,CORE,7524
NLA06608-0043,1,PROB_Lake,Target_Sampled,YES (Both),7/31/2007,YES,P,512708,SEDB,BOT,27.5,24.5,25.5,F1,THIS IS THE LONGEST WE COULD GET AFTER MULTIPLE ATTEMPTS.,CORE,7524
NLA06608-0043,2,PROB_Lake,Target_Sampled,YES (Both),8/15/2007,NO,P,513107,SEDT,TOP,35,0,1,IM,"THIS SEQUENCE IS A PRIMARY SAMPLE SEQUENCE FOR VISIT 2, AND NOT A DUPLICATE SERIES, AS NO OTHER SAMPLE SERIES WAS REPORTED FOR VISIT 2.",CORE,7525
NLA06608-0043,2,PROB_Lake,Target_Sampled,YES (Both),8/15/2007,NO,P,513108,SEDB,BOT,35,32,33,IM,"THIS SEQUENCE IS A PRIMARY SAMPLE SEQUENCE FOR VISIT 2, AND NOT A DUPLICATE SERIES, AS NO OTHER SAMPLE SERIES WAS REPORTED FOR VISIT 2.",CORE,7525
NLA06608-0044,1,PROB_Lake,Target_Sampled,YES (Both),7/18/2007,YES,P,503707,SEDT,TOP,33,0,1,,,CORE,7526
NLA06608-0044,1,PROB_Lake,Target_Sampled,YES (Both),7/18/2007,YES,P,514468,SEDB,BOT,33,30,31,,,CORE,7526
NLA06608-0044,2,PROB_Lake,Target_Sampled,YES (Both),7/30/2007,NO,P,513707,SEDT,TOP,30,0,1,,,CORE,7527
NLA06608-0044,2,PROB_Lake,Target_Sampled,YES (Both),7/30/2007,NO,P,513708,SEDB,BOT,30,27,28,,,CORE,7527
NLA06608-0045,1,PROB_Lake,Target_Sampled,YES (Top only),6/26/2007,YES,P,505707,SEDT,TOP,46.5,0,1,,,CORE,7528
NLA06608-0045,2,PROB_Lake,Target_Sampled,YES (Top only),8/2/2007,NO,P,502077,SEDT,TOP,,0,1,IM,CORE LENGTH NOT RECORDED (ONLY TOP COLLECTED),CORE,7529
NLA06608-0048,1,PROB_Lake,Target_Sampled,YES (Both),8/2/2007,YES,P,513007,SEDT,TOP,40,0,1,,,CORE,7530
NLA06608-0048,1,PROB_Lake,Target_Sampled,YES (Both),8/2/2007,YES,P,513008,SEDB,BOT,40,38,40,,,CORE,7530
NLA06608-0048,2,PROB_Lake,Target_Sampled,YES (Both),9/18/2007,NO,P,510547,SEDT,TOP,34,0,1,,,CORE,7531
NLA06608-0048,2,PROB_Lake,Target_Sampled,YES (Both),9/18/2007,NO,P,510548,SEDB,BOT,34,,,,,CORE,7531
NLA06608-0049,1,PROB_Lake,Target_Sampled,YES (Top only),8/15/2007,YES,P,509747,SEDT,TOP,8,0,1,,,CORE,7532
NLA06608-0050,1,PROB_Lake,Target_Sampled,YES (Both),7/2/2007,YES,P,508677,SEDT,TOP,48,0,1,,,CORE,7533
NLA06608-0050,1,PROB_Lake,Target_Sampled,YES (Both),7/2/2007,YES,P,508678,SEDB,BOT,48,,,,,CORE,7533
NLA06608-0050,2,PROB_Lake,Target_Sampled,YES (Both),8/30/2007,NO,P,511067,SEDT,TOP,40,0,1,,,CORE,7534
NLA06608-0050,2,PROB_Lake,Target_Sampled,YES (Both),8/30/2007,NO,P,511068,SEDB,BOT,40,37,38,IM,BOTTOM INTERVALS ASSUMED FROM CORE LENGTH,CORE,7534
NLA06608-0053,1,PROB_Lake,Target_Sampled,YES (Both),8/23/2007,YES,P,506807,SEDT,TOP,56,0,1,,,CORE,7535
NLA06608-0053,1,PROB_Lake,Target_Sampled,YES (Both),8/23/2007,YES,P,506808,SEDB,BOT,56,54,55,,,CORE,7535
NLA06608-0053,2,PROB_Lake,Target_Sampled,YES (Both),9/27/2007,NO,P,517547,SEDT,TOP,49,0,1,IM,"ALL SAMPLES FOR THIS SITE, VISIT 2, ARE LISTED AS SAMPLE TYPE D",CORE,7536
