SAMPLE_TYPE	DATA_COLUMN	LABEL	LEGAL_VALUES	RANGE_HIGH	RANGE_LOW	UNITS
CHEM	POTASSIUM_MDL	Minimum detection limit of analyte for Potassium				
CHEM	POTASSIUM_QA_FLAG	QA flag associated with sample for Potassium				
CHEM	POTASSIUM_RESULT	Analyte value for Potassium				
CHEM	POTASSIUM_RL	Reporting limit for Potassium				
CHEM	POTASSIUM_BATCH_ID	Batch ID from lab for Potassium				
CHEM	POTASSIUM_FLAG	Flag for Potassium				
CHEM	POTASSIUM_UNITS	Units for Potassium				
CHEM	POTASSIUM_LAB_SAMPLE_ID	Laboratory Sample ID for Potassium				
CHEM	POTASSIUM_LAB_FLAG	Flag from laboratory for Potassium				
CHEM	TOC_HOLDING_TIME	Sample holding time for Total Organic Carbon				
CHEM	TOC_RESULT	Analyte value for Total Organic Carbon				
CHEM	TOC_BATCH_ID	Batch ID from lab for Total Organic Carbon				
CHEM	TOC_UNITS	Units for Total Organic Carbon				
NUTS	NTL_QA_FLAG	QA flag associated with sample for Total Nitrogen				
NUTS	NTL_MDL	Minimum detection limit of analyte for Total Nitrogen				
NUTS	NTL_LAB_SAMPLE_ID	Laboratory Sample ID for Total Nitrogen				
NUTS	NTL_DATE_ANALYZED	Date of sample analysis for Total Nitrogen				
NUTS	NTL_HOLDING_TIME	Sample holding time for Total Nitrogen				
NUTS	NTL_LAB_FLAG	Flag from laboratory for Total Nitrogen				
NUTS	NTL_UNITS	Units for Total Nitrogen				
NUTS	NTL_BATCH_ID	Batch ID from lab for Total Nitrogen				
NUTS	NTL_FLAG	Flag for Total Nitrogen				
NUTS	NTL_RESULT	Analyte value for Total Nitrogen				
NUTS	NTL_RL	Reporting limit for Total Nitrogen				
NUTS	PTL_QA_FLAG	QA flag associated with sample for Total Phosphorus				
NUTS	PTL_MDL	Minimum detection limit of analyte for Total Phosphorus				
NUTS	PTL_LAB_SAMPLE_ID	Laboratory Sample ID for Total Phosphorus				
NUTS	PTL_DATE_ANALYZED	Date of sample analysis for Total Phosphorus				
NUTS	PTL_HOLDING_TIME	Sample holding time for Total Phosphorus				
NUTS	PTL_LAB_FLAG	Flag from laboratory for Total Phosphorus				
NUTS	PTL_UNITS	Units for Total Phosphorus				
NUTS	PTL_BATCH_ID	Batch ID from lab for Total Phosphorus				
NUTS	PTL_FLAG	Flag for Total Phosphorus				
NUTS	PTL_RESULT	Analyte value for Total Phosphorus				
NUTS	PTL_RL	Reporting limit for Total Phosphorus				
	CHEM_SAMPLE_ID	Chemistry Sample ID				
	CHEM_SHIP_FLAG	Chemistry Shipping Flag				
	LAB	Lab name				
	NUTS_SAMPLE_ID	Nutrients Sample ID				
	NUTS_SHIP_FLAG	Nutrients Shipping Flag				
	SAM_CODE					
	UID	Unique site visit ID				
